title weight,abstract weight,affiliation weight,precision,recall
0.1,0.1,0.8,0.8811,0.7600
0.1,0.2,0.7,0.8711,0.7600
0.1,0.3,0.6,0.8711,0.7700
0.1,0.4,0.5,0.8511,0.7300
0.1,0.5,0.4,0.8419,0.7300
0.1,0.6,0.3,0.8439,0.7300
0.1,0.7,0.2,0.8312,0.6900
0.1,0.8,0.1,0.8212,0.6800
0.2,0.1,0.7,0.8811,0.7600
0.2,0.2,0.6,0.8711,0.7700
0.2,0.3,0.5,0.8541,0.7400
0.2,0.4,0.4,0.8419,0.7300
0.2,0.5,0.3,0.8469,0.7300
0.2,0.6,0.2,0.8422,0.7100
0.2,0.7,0.1,0.8262,0.7000
0.3,0.1,0.6,0.8711,0.7600
0.3,0.2,0.5,0.8691,0.7600
0.3,0.3,0.4,0.8419,0.7300
0.3,0.4,0.3,0.8619,0.7400
0.3,0.5,0.2,0.8439,0.7300
0.3,0.6,0.1,0.8262,0.7000
0.4,0.1,0.5,0.8691,0.7600
0.4,0.2,0.4,0.8541,0.7400
0.4,0.3,0.3,0.8619,0.7400
0.4,0.4,0.2,0.8439,0.7300
0.4,0.5,0.1,0.8262,0.7000
0.5,0.1,0.4,0.8591,0.7500
0.5,0.2,0.3,0.8619,0.7400
0.5,0.3,0.2,0.8439,0.7300
0.5,0.4,0.1,0.8442,0.7100
0.6,0.1,0.3,0.8741,0.7500
0.6,0.2,0.2,0.8439,0.7300
0.6,0.3,0.1,0.8452,0.7200
0.7,0.1,0.2,0.8439,0.7300
0.7,0.2,0.1,0.8469,0.7400
0.8,0.1,0.1,0.8419,0.7300
