title weight,abstract weight,affiliation weight,precision,recall,F1-score
0.1,0.1,0.8,0.403,0.400,0.391
0.1,0.2,0.7,0.403,0.400,0.391
0.1,0.3,0.6,0.393,0.390,0.381
0.1,0.4,0.5,0.385,0.380,0.373
0.1,0.5,0.4,0.325,0.310,0.309
0.1,0.6,0.3,0.315,0.300,0.299
0.1,0.7,0.2,0.295,0.280,0.279
0.1,0.8,0.1,0.260,0.240,0.243
0.2,0.1,0.7,0.403,0.400,0.391
0.2,0.2,0.6,0.403,0.400,0.391
0.2,0.3,0.5,0.385,0.380,0.373
0.2,0.4,0.4,0.325,0.310,0.309
0.2,0.5,0.3,0.315,0.300,0.299
0.2,0.6,0.2,0.295,0.280,0.279
0.2,0.7,0.1,0.260,0.240,0.243
0.3,0.1,0.6,0.403,0.400,0.391
0.3,0.2,0.5,0.385,0.380,0.373
0.3,0.3,0.4,0.385,0.380,0.373
0.3,0.4,0.3,0.305,0.290,0.289
0.3,0.5,0.2,0.305,0.290,0.289
0.3,0.6,0.1,0.260,0.240,0.243
0.4,0.1,0.5,0.385,0.380,0.373
0.4,0.2,0.4,0.370,0.360,0.356
0.4,0.3,0.3,0.305,0.290,0.289
0.4,0.4,0.2,0.305,0.290,0.289
0.4,0.5,0.1,0.270,0.250,0.253
0.5,0.1,0.4,0.370,0.360,0.356
0.5,0.2,0.3,0.360,0.350,0.346
0.5,0.3,0.2,0.305,0.290,0.289
0.5,0.4,0.1,0.270,0.250,0.253
0.6,0.1,0.3,0.360,0.350,0.346
0.6,0.2,0.2,0.310,0.290,0.293
0.6,0.3,0.1,0.290,0.270,0.273
0.7,0.1,0.2,0.365,0.350,0.349
0.7,0.2,0.1,0.300,0.280,0.283
0.8,0.1,0.1,0.300,0.280,0.283
